vrfid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,AGGR_downlinkcostbuffer
9,97.6836876129,97.6836876129,97.6840325081,97.3824549677,74503454.8222,33526554670.0,675805.0,0.310448307
2,1.65527485564,1.65527485564,1.65539820259,1.92266025813,1262479.93333,568115970.0,11452.5,0.0061293035
16,0.380202595612,0.380202595612,0.380297111635,0.414901082467,289980.933333,130491420.0,2631.0,0.001322675
1,0.24633649285,0.24633649285,0.245075542675,0.245585179029,187881.111111,84546500.0,1695.5,0.000782908
19,0.0344984429864,0.0344984429864,0.0351966349993,0.0343985126379,26312.0,11840400.0,243.5,0.00010966
Total,100,100,100,100,76270108.8,34321548960.0,691827.5,0.3187928535
