vrfid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
9,91.9963922983,91.9963922983,91.8008271441,97.3824549677,91024800.0,3413430000.0,64149.5,0.310448307
2,5.54158444834,5.54158444834,5.69412842199,1.92266025813,5483058.66667,205614700.0,3979.0,0.0061293035
16,1.43230014159,1.43230014159,1.46896778717,0.414901082467,1417173.33333,53144000.0,1026.5,0.001322675
1,0.903833567069,0.903833567069,0.90442049829,0.245585179029,894288.0,33535800.0,632.0,0.000782908
19,0.125889544659,0.125889544659,0.131656148485,0.0343985126379,124560.0,4671000.0,92.0,0.00010966
Total,100,100,100,100,98943880.0,3710395500.0,69879.0,0.3187928535
