vrfid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
9,97.3622628451,97.3622628451,97.3682058841,96.9803053505,97.0429473166,97.6836876129,149007120.978,67053204440.0,1351607.5,0.620897505,33526649770.0,33526554670.0
2,1.97278428694,1.97278428694,1.97080194692,2.30780714674,2.28821017192,1.65527485564,3019228.37778,1358652770.0,27357.5,0.0147752855,790536800.0,568115970.0
16,0.39282085141,0.39282085141,0.391062720236,0.440828568665,0.405356304251,0.380202595612,601188.822222,270534970.0,5428.5,0.002822319,140043550.0,130491420.0
1,0.237747138296,0.237747138296,0.234846544712,0.236802522337,0.229214148424,0.24633649285,363857.777778,163736000.0,3260.0,0.001516082,79189500.0,84546500.0
19,0.0343848782953,0.0343848782953,0.035082904072,0.0342564117237,0.0342720588335,0.0344984429864,52624.0,23680800.0,487.0,0.00021932,11840400.0,11840400.0
Total,100,100,100,100,100,100,153044019.956,68869808980.0,1388140.5,0.6402305115,34548260020.0,34321548960.0
