vrfid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,AGGR_uplinkcostbuffer
9,90.429115809,90.429115809,90.274777469,96.5814646397,91027336.0,3413525100.0,64147.0,0.310449198
2,6.90314554737,6.90314554737,7.03866586919,2.68978502824,6948812.26667,260580460.0,5001.5,0.008645982
16,1.56961908808,1.56961908808,1.59729796292,0.466542722259,1580002.66667,59250100.0,1135.0,0.001499644
1,0.974378148167,0.974378148167,0.959786088731,0.228092129765,980824.0,36780900.0,682.0,0.000733174
19,0.123741407363,0.123741407363,0.12947261021,0.0341154800226,124560.0,4671000.0,92.0,0.00010966
Total,100,100,100,100,100661534.933,3774807560.0,71057.5,0.321437658
