vrfid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,AGGR_uplinkcostbuffer
9,89.2554745688,89.2554745688,89.3900563813,96.5104622577,5979093.33333,224216000.0,4360.0,0.02141129
2,7.13634572285,7.13634572285,7.28856996412,2.72002473692,478053.333333,17927000.0,355.5,0.00060345
16,2.40120697274,2.40120697274,2.12198872373,0.599131142649,160853.333333,6032000.0,103.5,0.00013292
1,1.03778955204,1.03778955204,1.01486417222,0.144058315672,69520.0,2607000.0,49.5,3.196e-05
19,0.16918318359,0.16918318359,0.184520758585,0.0263235470439,11333.3333333,425000.0,9.0,5.84e-06
Total,100,100,100,100,6698853.33333,251207000.0,4877.5,0.02218546
