vrfid,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,AGGR_uplinkcostbuffer
9,97.0486550742,97.0486550742,97.0859184057,96.5104622577,5139773.33333,2312898000.0,46476.0,0.02141129
2,2.29582850709,2.29582850709,2.2936642226,2.72002473692,121588.888889,54715000.0,1098.0,0.00060345
16,0.484236660624,0.484236660624,0.451212633954,0.599131142649,25645.5555556,11540500.0,216.0,0.00013292
1,0.144803146814,0.144803146814,0.141003948111,0.144058315672,7668.88888889,3451000.0,67.5,3.196e-05
19,0.0264766113126,0.0264766113126,0.0282007896221,0.0263235470439,1402.22222222,631000.0,13.5,5.84e-06
Total,100,100,100,100,5296078.88889,2383235500.0,47871.0,0.02218546
