vrfid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
9,90.6479939195,90.6479939195,90.6444906445,97.1684434426,5979093.33333,224216000.0,4360.0,0.02141129
2,6.55998835649,6.55998835649,6.73596673597,2.24608501931,432693.333333,16226000.0,324.0,0.00049493
16,1.71539693064,1.71539693064,1.59043659044,0.411522820502,113146.666667,4243000.0,76.5,9.068e-05
1,0.904798098226,0.904798098226,0.841995841996,0.147445703993,59680.0,2238000.0,40.5,3.249e-05
19,0.17182269515,0.17182269515,0.18711018711,0.0265030135832,11333.3333333,425000.0,9.0,5.84e-06
Total,100,100,100,100,6595946.66667,247348000.0,4810.0,0.02203523
