vrfid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,AGGR_uplinkcostbuffer
9,81.3422991538,81.3422991538,81.3724588354,91.3780877992,6067680.0,227538000.0,4423.0,0.02155981
2,10.3532347379,10.3532347379,10.7625793395,4.95556722515,772293.333333,28961000.0,585.0,0.00116922
16,6.70041361461,6.70041361461,6.29196946003,3.33236275047,499813.333333,18743000.0,342.0,0.00078624
1,1.33486338563,1.33486338563,1.24183607764,0.265151370662,99573.3333333,3734000.0,67.5,6.256e-05
19,0.26918910803,0.26918910803,0.33115628737,0.0688308545325,20080.0,753000.0,18.0,1.624e-05
Total,100,100,100,100,7459440.0,279729000.0,5435.5,0.02359407
