vrfid,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
9,82.9400599164,82.9400599164,83.0850913875,92.6027065401,81.3422991538,84.6033896287,12129840.0,454869000.0,8841.5,0.0431177,227538000.0,227331000.0
2,9.03668829807,9.03668829807,9.26091246535,3.8670779603,10.3532347379,7.66611338955,1321600.0,49560000.0,985.5,0.00180059,28961000.0,20599000.0
16,6.41101615335,6.41101615335,6.0893671005,3.185879138,6.70041361461,6.1097423912,937600.0,35160000.0,648.0,0.00148341,18743000.0,16417000.0
1,1.33763408706,1.33763408706,1.22633087441,0.274579952807,1.33486338563,1.34051849261,195626.666667,7336000.0,130.5,0.00012785,3734000.0,3602000.0
19,0.274601545135,0.274601545135,0.33829817225,0.0697564088164,0.26918910803,0.280236097982,40160.0,1506000.0,36.0,3.248e-05,753000.0,753000.0
Total,100,100,100,100,100,100,14624826.6667,548431000.0,10641.5,0.04656203,279729000.0,268702000.0
