vrfid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
9,84.6033896287,84.6033896287,84.873223204,93.8607085697,6062160.0,227331000.0,4418.5,0.02155789
2,7.66611338955,7.66611338955,7.69304648483,2.74891631647,549306.666667,20599000.0,400.5,0.00063137
16,6.1097423912,6.1097423912,5.8778332693,3.03540236051,437786.666667,16417000.0,306.0,0.00069717
1,1.34051849261,1.34051849261,1.21014214368,0.284265559501,96053.3333333,3602000.0,63.0,6.529e-05
19,0.280236097982,0.280236097982,0.345754898194,0.0707071938474,20080.0,753000.0,18.0,1.624e-05
Total,100,100,100,100,7165386.66667,268702000.0,5206.0,0.02296796
