vrfid,downlinkbytebuffer(%),downlinkflowbuffer(%),downlinkcostbuffer(%),downlinkbytebuffer,downlinkflowbuffer,downlinkcostbuffer
34,0,0,0,910104,910104,910104
47,0,0,0,113763,113763,113763
Total,100,100,100,1023867,1023867,1023867
