vrfid,PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalByteBuffer,PEAK_totalflowbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
34,0,0,0,0,1820208,1820208,910104,910104
47,0,0,0,0,227526,227526,113763,113763
Total,100,100,100,100,2047734,2047734,1023867,1023867
