sourcesiteid,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
3581,26.1225793491,26.1225793491,27.7610434124,41.6646107132,66.3418327257,1.31371860949e-05,6.71733538133e+12,2.519000768e+14,5105800000.0,153645110.0,2.519e+14,76800000.0
3582,73.8774206509,73.8774206509,72.2389565876,58.3353892868,33.6581672743,99.9999868628,1.89973357909e+13,7.1240009216e+14,13286160000.0,215121350.0,1.2780009216e+14,5.846e+14
Total,100,100,100,100,100,100,2.57146711723e+13,9.6430016896e+14,18391960000.0,368766460.0,3.7970009216e+14,5.846000768e+14
