destsiteid,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,AGGR_uplinkcostbuffer
10.185.51.130,100.0,100.0,100.0,100.0,341333.333333,153600000.0,153600000.0,153600000.0
Total,100,100,100,100,341333.333333,153600000.0,153600000.0,153600000.0
