destsiteid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
10.185.51.130,100.0,100.0,100.0,100.0,1.32626666667e+13,4.9735e+14,10050000000.0,153780400.0
Total,100,100,100,100,1.32626666667e+13,4.9735e+14,10050000000.0,153780400.0
