destsiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,AGGR_downlinkcostbuffer
10.185.51.130,100.0,100.0,100.0,100.0,8.66537811911e+12,3.8994201536e+15,80268600000.0,153780400.0
Total,100,100,100,100,8.66537811911e+12,3.8994201536e+15,80268600000.0,153780400.0
