destsiteid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,AGGR_uplinkcostbuffer
10.185.51.130,100.0,100.0,100.0,100.0,4096000.0,153600000.0,153600000.0,153600000.0
Total,100,100,100,100,4096000.0,153600000.0,153600000.0,153600000.0
