destsiteid,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
10.185.51.130,100.0,100.0,100.0,100.0,100.0,100.0,1.32626707627e+13,4.973501536e+14,10203600000.0,307380400.0,153600000.0,4.9735e+14
Total,100,100,100,100,100,100,1.32626707627e+13,4.973501536e+14,10203600000.0,307380400.0,153600000.0,4.9735e+14
