interface,PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalByteBuffer,PEAK_totalflowbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
554,100.0,100.0,100.0,100.0,5.34399993e+14,388000000.0,3.7400001e+13,4.96999992e+14
Total,100,100,100,100,5.34399993e+14,388000000.0,3.7400001e+13,4.96999992e+14
