interface,PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer
554,100.0,100.0,3.7400001e+13,163000000.0
Total,100,100,3.7400001e+13,163000000.0
