interface,AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer
554,100.0,100.0,2.211000034e+14,669500000.0
Total,100,100,2.211000034e+14,669500000.0
