vrfid,AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),uplinkcostbuffer(%),AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,uplinkcostbuffer
9,92.780321786,92.880750335,91.3780877992,2328922000.0,46791.0,0.02155981
16,3.09175181608,2.9924073247,3.33236275047,77607500.0,1507.5,0.00078624
2,3.78906171413,3.78740509156,4.95556722515,95111000.0,1908.0,0.00116922
1,0.269187475711,0.259044216168,0.265151370662,6757000.0,130.5,6.256e-05
19,0.0696772080833,0.0803930326038,0.0688308545325,1749000.0,40.5,1.624e-05
Total,100,100,100,2510146500.0,50377.5,0.02359407
