vrfid,PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalByteBuffer,PEAK_totalflowbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
1,0.661160302182,0.650180605724,0.689999132622,0.624659427706,3001000.0,58.5,1591000.0,1410000.0
2,3.08967413455,3.40094470686,4.39110070258,2.79236054811,14024000.0,306.0,10125000.0,6303000.0
9,92.4637419338,92.3478744096,91.007893139,92.9661576357,419692000.0,8309.0,209846000.0,209846000.0
16,3.59815729931,3.40094470686,3.72668921849,3.42853851845,16332000.0,306.0,8593000.0,7739000.0
19,0.187266330175,0.200055570992,0.184317807269,0.188283870053,850000.0,18.0,425000.0,425000.0
Total,100,100,100,100,453899000.0,8997.5,230580000.0,225723000.0
