destsiteid,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,AGGR_uplinkcostbuffer
10.185.51.130,100.0,100.0,100.0,100.0,170666.666667,76800000.0,76800000.0,76800000.0
Total,100,100,100,100,170666.666667,76800000.0,76800000.0,76800000.0
