destsiteid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
10.185.51.130,100.0,100.0,100.0,100.0,6.71733333333e+12,2.519e+14,5029000000.0,76890240.0
Total,100,100,100,100,6.71733333333e+12,2.519e+14,5029000000.0,76890240.0
