vrfid,AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalByteBuffer,AGGR_totalflowbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
2,49.8922329355,50.2459857012,49.8339041695,49.9614070269,7.28934951284e+12,545793.0,3.950065451e+12,3.33928406184e+12
19,0.040622842131,0.0253626724063,0.0618368451448,0.0154644257112,5935074000.0,275.5,4901474000.0,1033600000.0
2,50.0272191467,49.7034270448,50.0436679041,50.0077119991,7.30907125338e+12,539899.5,3.9666922936e+12,3.34237895978e+12
19,0.0399250756598,0.025224581631,0.0605910812636,0.0154165482323,5833129000.0,274.0,4802729000.0,1030400000.0
Total,100,100,100,100,1.46101889692e+13,1086242.0,7.9264619476e+12,6.68372702162e+12
