vrfid,PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalByteBuffer,PEAK_totalflowbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
2,99.9149010281,99.9477164051,99.8706902978,99.9620972701,6.3296326143e+11,45879.5,3.359975654e+11,2.8483189852e+11
19,0.085098971909,0.0522835949328,0.129309702156,0.0379027298602,539104000.0,24.0,435040000.0,108000000.0
Total,100,100,100,100,6.3350236543e+11,45903.5,3.364326054e+11,2.8493989852e+11
