vrfid,PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),uplinkcostbuffer(%),PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,uplinkcostbuffer
1,0.000390385765053,0.00457893818864,0.000317464261438,4629000000.0,33000.0,0.422903
2,37.7851917499,15.3930165087,43.8300092748,4.48037987724e+14,110936100.0,58387.178224
5,0.00135028437735,0.0255310492942,0.000999183336473,16010999740.0,184000.0,1.33104
9,61.3195696203,81.1889448891,55.1822319329,7.27096921e+14,585121500.0,73509.790757
15,0.00020662024722,0.00235884694566,0.000164984158019,2450000000.0,17000.0,0.21978
16,0.815520954422,3.17764434721,0.922527055961,9.67004136923e+12,22901000.0,1228.92403
19,0.0777703849922,0.207925420475,0.0637501046129,9.221624976e+11,1498500.0,84.923293
Total,100,100,100,1.18575020259e+15,720691100.0,133212.790027
