vrfid,downlinkbytebuffer(%),downlinkflowbuffer(%),downlinkcostbuffer(%),downlinkbytebuffer,downlinkflowbuffer,downlinkcostbuffer
1,0.000893225831889,0.00979932278324,0.000815976820714,7340000000.0,64500.0,0.7121
2,9.97838760464,6.59133595535,13.8012479318,8.19964698772e+13,43384750.0,12044.2988119
5,0.00188161547417,0.0276508022721,0.0014624960763,15461999740.0,182000.0,1.276315
9,88.5062559476,88.888973293,84.2618722729,7.27291906998e+14,585075000.0,73535.029087
15,0.000428358982051,0.00683673682551,0.000398764125275,3520000000.0,45000.0,0.348
16,1.4458542905,4.26209770077,1.88397607498,1.18811728382e+13,28053500.0,1644.13906
19,0.0662989570078,0.213306188956,0.0502264832168,5.448054983e+11,1404000.0,43.832469
Total,100,100,100,8.21740677212e+14,658208750.0,87269.6358429
