sourcesiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,downlinkcostbuffer
ATLANTAGAWDC,80.6950721165,80.6950721165,99.917240739,81.5142637408,8219999962.22,3.698999983e+12,395200000.0,25.0
HOUSTON2TXWDC,0.872833143489,0.872833143489,0.00208809840907,0.906438612798,88911109.6667,40009999350.0,8259.0,0.278
NASHVILLE2TNWDC,18.4274469744,18.4274469744,0.0805254078324,17.5744752625,1877111073.33,844699983000.0,318500.0,5.39
KANSASCITYMOWDC,0.00304760790118,0.00304760790118,0.000103659080726,0.00316275343314,310444.444444,139700000.0,410.0,0.00097
FTWORTH1TXWDC,0.00160015776343,0.00160015776343,4.20956998559e-05,0.00165963040976,163000.0,73350000.0,166.5,0.000509
Total,100,100,100,100,10186495589.7,4.58392301535e+12,395527335.5,30.669479
