sourcesiteid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
ATLANTAGAWDC,72.1528788045,72.1528788045,67.3825139899,71.5433707623,69.8426804212,80.6950721165,34526666495.6,1.5536999923e+13,769000000.0,99.9,1.183799994e+13,3.698999983e+12
HOUSTON2TXWDC,13.9643707584,13.9643707584,32.2812414383,14.9517767245,17.5049191782,0.872833143489,6682244423.0,3.00700999035e+12,368408259.0,20.878,2.966999991e+12,40009999350.0
NASHVILLE2TNWDC,13.8375447102,13.8375447102,0.0751634856964,13.4564558221,12.5962259526,18.4274469744,6621555497.78,2.979699974e+12,857800.0,18.79,2.134999991e+12,844699983000.0
KANSASCITYMOWDC,0.0343776867203,0.0343776867203,0.196487936536,0.0367886181788,0.0428507679059,0.00304760790118,16450444.4444,7402700000.0,2242410.0,0.05137,7263000000.0,139700000.0
FTWORTH1TXWDC,0.0108280402071,0.0108280402071,0.0645931495437,0.0116080730399,0.013323680182,0.00160015776343,5181444.44444,2331650000.0,737166.5,0.016209,2258300000.0,73350000.0
Total,100,100,100,100,100,100,47852098305.2,2.15334442374e+13,1141245635.5,139.635579,1.6949521222e+13,4.58392301535e+12
