sourcesiteid,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
ATLANTAGAWDC,71.8993079777,71.8993079777,67.2978577348,71.5433707623,69.5012945067,80.7012031794,36506667013.3,1.369000013e+12,68900000.0,99.9,1.04000002e+12,328999993000.0
HOUSTON2TXWDC,14.1556032061,14.1556032061,32.3310150914,14.9517767245,17.7762927594,0.86588219694,7187466849.87,269530006870.0,33100711.0,20.878,266000007000.0,3529999870.0
NASHVILLE2TNWDC,13.8704217269,13.8704217269,0.0741350856615,13.4564558221,12.630524005,18.4214594678,7042666773.33,264100004000.0,75900.0,18.79,189000008000.0,75099996000.0
KANSASCITYMOWDC,0.0591160411185,0.0591160411185,0.212976719674,0.0367886181788,0.0728427014956,0.00873241001311,30016000.0,1125600000.0,218047.0,0.05137,1090000000.0,35600000.0
FTWORTH1TXWDC,0.01555104813,0.01555104813,0.0840153683888,0.0116080730399,0.0190460274553,0.00272274581869,7896000.0,296100000.0,86015.5,0.016209,285000000.0,11100000.0
Total,100,100,100,100,100,100,50774712636.5,1.90405172387e+12,102380673.5,139.635579,1.496375035e+12,407676688870.0
