sourcesiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,downlinkcostbuffer
10.102.214.162,49.8675223435,49.8675223435,49.9386146937,29.1666666667,9.87068912782e+12,4.44181010752e+15,88918520000.0,107520000.0
10.102.214.162,50.132475932,50.132475932,49.9751201366,29.1666666667,9.92313357227e+12,4.46541010752e+15,88983520000.0,107520000.0
10.185.51.130,8.62221847237e-07,8.62221847237e-07,0.0431325848482,20.8333333333,170666.666667,76800000.0,76800000.0,76800000.0
10.185.51.130,8.62221847237e-07,8.62221847237e-07,0.0431325848482,20.8333333333,170666.666667,76800000.0,76800000.0,76800000.0
Total,100,100,100,100,1.97938230414e+13,8.90722036864e+15,1.7805564e+11,368640000.0
