sourcesiteid,AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),uplinkcostbuffer(%),AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,uplinkcostbuffer
10.102.214.162,16.7447003365,14.4840521211,29.1666666667,9.8280010752e+14,16368520000.0,107520000.0
10.102.214.162,16.8179626519,14.4884764833,29.1666666667,9.8710010752e+14,16373520000.0,107520000.0
10.185.51.130,33.1777779111,35.4955958129,20.8333333333,1.9473100768e+15,40113800000.0,76800000.0
10.185.51.130,33.2595591004,35.5318755827,20.8333333333,1.9521100768e+15,40154800000.0,76800000.0
Total,100,100,100,5.86932036864e+15,1.1301064e+11,368640000.0
