vrfid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,AGGR_downlinkcostbuffer
9,88.8085549812,88.8085549812,89.2074793453,84.4391227124,1.48448386078e+13,6.68017737352e+15,5689507000.0,61729.420316
2,9.67173073241,9.67173073241,6.08351769706,13.4676977517,1.61668300775e+12,7.27507353488e+14,387996800.0,9845.5922859
16,1.47873946598,1.47873946598,4.51700210618,2.04990001367,2.47179438063e+11,1.11230747128e+14,288087000.0,1498.584252
19,0.0381276312398,0.0381276312398,0.152410622392,0.0405448657839,6373243347.71,2.86795950647e+12,9720500.0,29.64042
5,0.00168604148776,0.00168604148776,0.0258238048537,0.0016068219693,281831111.622,1.2682400023e+11,1647000.0,1.174671
1,0.000780424338432,0.000780424338432,0.00831002827714,0.000765034116777,130452222.222,58703500000.0,530000.0,0.55928
15,0.00038072333343,0.00038072333343,0.00545639592537,0.000362800276528,63640000.0,28638000000.0,348000.0,0.265226
Total,100,100,100,100,1.67155502203e+13,7.52199759915e+15,6377836300.0,73105.2364509
