vrfid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
9,72.375111162,72.375111162,84.9075875253,66.5175233898,61.0707428215,88.8085549812,2.96849159211e+13,1.33582121645e+16,11379400000.0,123439.008397,6.67803479099e+15,6.68017737352e+15
2,26.47885917,26.47885917,10.9995502384,32.0245691286,38.0402806648,9.67173073241,1.08604007031e+13,4.88718031639e+15,1474170750.0,59429.1677759,4.1596729629e+15,7.27507353488e+14
16,1.09113611755,1.09113611755,3.90764872841,1.4050235543,0.824508436282,1.47873946598,4.47533459884e+11,2.01390056948e+14,523707000.0,2607.353754,9.01593098196e+13,1.11230747128e+14
19,0.0527227921057,0.0527227921057,0.150808452578,0.050874705839,0.0627626277136,0.0381276312398,21624445554.0,9.73100049929e+12,20211500.0,94.410058,6.86304099282e+12,2.86795950647e+12
5,0.00140450888889,0.00140450888889,0.0249625054103,0.00129384627598,0.00121084600042,0.00168604148776,576064445.467,2.5922900046e+11,3345500.0,2.401038,1.3240500023e+11,1.2682400023e+11
1,0.000512014083232,0.000512014083232,0.00592817532461,0.000481144769555,0.000327377897139,0.000780424338432,210004444.444,94502000000.0,794500.0,0.892878,35798500000.0,58703500000.0
15,0.00025423534784,0.00025423534784,0.00351437454738,0.000234230428997,0.00016722578396,0.00038072333343,104275555.556,46924000000.0,471000.0,0.43467,18286000000.0,28638000000.0
Total,100,100,100,100,100,100,4.10153648741e+13,1.84569141934e+16,13402100250.0,185573.668571,1.09349165942e+16,7.52199759915e+15
