vrfid,AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),uplinkcostbuffer(%),AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,uplinkcostbuffer
19,0.00384968736263,0.00258504436941,0.00382655849241,1330000.0,18.0,1.23e-05
9,6.56122999737,6.5516513407,6.52822389591,2266790800.0,45620.0,0.02098417
2,0.145377798971,0.146629461176,0.171709812545,50225500.0,1021.0,0.00055194
16,0.0307396088655,0.0323848614057,0.0361594222417,10620000.0,225.5,0.00011623
1,0.0116156356288,0.0113454725102,0.011532562871,4013000.0,79.0,3.707e-05
19,0.00251242754193,0.00251323758138,0.00250126262431,868000.0,17.5,8.04e-06
9,6.69468736967,6.67458456183,6.66110191731,2312898000.0,46476.0,0.02141129
2,0.158372664697,0.157687706534,0.187734692865,54715000.0,1098.0,0.00060345
1,0.00998892563041,0.0096939163853,0.00994283003393,3451000.0,67.5,3.196e-05
16,0.0334039977507,0.031020532433,0.0413517199033,11540500.0,216.0,0.00013292
19,0.00182643062092,0.00193878327706,0.0018168375281,631000.0,13.5,5.84e-06
Total,100,100,100,34548260020.0,696313.0,0.321437658
