vrfid,PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalByteBuffer,PEAK_totalflowbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
1,0.745715109884,0.390103685453,0.38128911885,0.351854264029,4705000.0,19.0,482900.0,443000.0
2,2.39056769445,2.27902679396,2.49097310447,1.99278182494,15083000.0,111.0,3154800.0,2509000.0
9,96.0224300961,96.6841186736,96.5012045072,97.0721436264,605842000.0,4709.0,122218100.0,122218100.0
16,0.706567047792,0.564623755261,0.556971100511,0.5132465585,4458000.0,27.5,705400.0,646200.0
19,0.134720051732,0.0821270916744,0.0695621689184,0.0699737260969,850000.0,4.0,88100.0,88100.0
Total,100,100,100,100,630938000.0,4870.5,126649300.0,125904400.0
