vrfid,downlinkbytebuffer(%),downlinkflowbuffer(%),downlinkcostbuffer(%),downlinkbytebuffer,downlinkflowbuffer,downlinkcostbuffer
1,0.790241517365,0.370675453048,0.259105208417,2489000.0,9.0,3.3899e-05
2,2.13101690018,2.05930807249,1.94661396255,6712000.0,50.0,0.0002546775
9,96.1754723511,96.9728171334,97.3282827984,302921000.0,2354.5,0.012733559
16,0.768334460436,0.514827018122,0.430891678789,2420000.0,12.5,5.6374e-05
19,0.134934770944,0.0823723228995,0.0351063518764,425000.0,2.0,4.593e-06
Total,100,100,100,314967000.0,2428.0,0.0130831025
