vrfid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,downlinkcostbuffer
16,0.0255169136166,0.0255169136166,0.0234162417655,0.0284385295983,19461.7777778,8757800.0,162.0,9.066e-05
1,0.0163658114806,0.0163658114806,0.0156108278436,0.0163115325294,12482.2222222,5617000.0,108.0,5.2e-05
19,0.00227845194549,0.00227845194549,0.00260180464061,0.00227420405458,1737.77777778,782000.0,18.0,7.25e-06
9,6.87010601633,6.87010601633,6.79757598534,6.84600666558,5239837.33333,2357926800.0,47027.5,0.02182458
1,0.0211791140559,0.0211791140559,0.0201639859647,0.0211328451251,16153.3333333,7269000.0,139.5,6.737e-05
2,0.113229155378,0.113229155378,0.114479404187,0.127088796236,86360.0,38862000.0,792.0,0.00040515
16,0.0258499405442,0.0258499405442,0.0260180464061,0.0296493472053,19715.7777778,8872100.0,180.0,9.452e-05
19,0.00303599351304,0.00303599351304,0.00325225580076,0.00302704401747,2315.55555556,1042000.0,22.5,9.65e-06
9,6.45928277475,6.45928277475,6.29896903491,6.44034826207,4926502.0,2216925900.0,43578.0,0.02053137
2,0.11124701873,0.11124701873,0.108625343745,0.127929467528,84848.2222222,38181700.0,751.5,0.00040783
16,0.0230246018593,0.0230246018593,0.021464888285,0.0246900139498,17560.8888889,7902400.0,148.5,7.871e-05
1,0.017059253377,0.017059253377,0.0156108278436,0.0169702674969,13011.1111111,5855000.0,108.0,5.41e-05
19,0.00217793200671,0.00217793200671,0.00195135348046,0.00217068855968,1661.11111111,747500.0,13.5,6.92e-06
9,7.93274511932,7.93274511932,6.81969132479,7.9081289694,6050313.33333,2722641000.0,47180.5,0.02521055
2,0.145340176978,0.145340176978,0.125537073909,0.169963032123,110851.111111,49883000.0,868.5,0.00054183
1,0.0208848382931,0.0208848382931,0.0188630836444,0.0208254354736,15928.8888889,7168000.0,130.5,6.639e-05
16,0.0330754302879,0.0330754302879,0.0312216556873,0.035662656409,25226.6666667,11352000.0,216.0,0.00011369
19,0.00387511648017,0.00387511648017,0.00260180464061,0.00385830480983,2955.55555556,1330000.0,18.0,1.23e-05
9,6.60454981983,6.60454981983,6.59412931692,6.58236211057,5037297.33333,2266783800.0,45620.0,0.0209841
2,0.112110324755,0.112110324755,0.110938058981,0.131361163026,85506.6666667,38478000.0,767.5,0.00041877
16,0.0280028154067,0.0280028154067,0.0291980298557,0.0305935339921,21357.7777778,9611000.0,202.0,9.753e-05
1,0.0176533407833,0.0176533407833,0.0174176366218,0.0175992025493,13464.2222222,6058900.0,120.5,5.6105e-05
19,0.00252902338706,0.00252902338706,0.00252953228948,0.0025220138757,1928.88888889,868000.0,17.5,8.04e-06
9,6.73890914042,6.73890914042,6.71785958205,6.71636448714,5139773.33333,2312898000.0,46476.0,0.02141129
2,0.129198714346,0.129198714346,0.12878932971,0.155251284515,98540.0,44343000.0,891.0,0.00049493
1,0.0102151566763,0.0102151566763,0.00975676740228,0.0101915709977,7791.11111111,3506000.0,67.5,3.249e-05
16,0.0269792602041,0.0269792602041,0.0266684975662,0.0284448032647,20577.1111111,9259700.0,184.5,9.068e-05
19,0.00183849511202,0.00183849511202,0.00195135348046,0.00183191057638,1402.22222222,631000.0,13.5,5.84e-06
Total,100,100,100,100,76270108.8,34321548960.0,691827.5,0.3187928535
