vrfid,AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalByteBuffer,AGGR_totalflowbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
1,0.0184870557775,0.0175054326273,0.0205943801392,0.0163658114806,12732000.0,243.0,7115000.0,5617000.0
19,0.00227095155797,0.00259339742627,0.00226350038916,0.00227845194549,1564000.0,36.0,782000.0,782000.0
9,6.8474904604,6.77561097022,6.82502331126,6.87010601633,4715853600.0,94055.0,2357926800.0,2357926800.0
1,0.021118107071,0.0200988300536,0.0210575004234,0.0211791140559,14544000.0,279.0,7275000.0,7269000.0
2,0.137927201203,0.137125888914,0.162463174607,0.113229155378,94990200.0,1903.5,56128200.0,38862000.0
16,0.0262673880877,0.0265823236193,0.0266820962754,0.0258499405442,18090300.0,369.0,9218200.0,8872100.0
19,0.00302599939054,0.00324174678284,0.00301607085103,0.00303599351304,2084000.0,45.0,1042000.0,1042000.0
9,6.43801959911,6.278615169,6.41689595573,6.45928277475,4433851800.0,87156.0,2216925900.0,2216925900.0
2,0.138269731556,0.130966570027,0.165115117135,0.11124701873,95226100.0,1818.0,57044400.0,38181700.0
16,0.0240232988083,0.0223680528016,0.0250154421525,0.0230246018593,16544800.0,310.5,8642400.0,7902400.0
1,0.0156624508762,0.0145878605228,0.0142748144108,0.017059253377,10786700.0,202.5,4931700.0,5855000.0
19,0.00217076251864,0.0019450480697,0.00216364007787,0.00217793200671,1495000.0,27.0,747500.0,747500.0
9,7.90663148431,6.79765484834,7.88068921105,7.93274511932,5445282000.0,94361.0,2722641000.0,2722641000.0
2,0.170222629823,0.146202779906,0.19494180014,0.145340176978,117232000.0,2029.5,67349000.0,49883000.0
1,0.0185712726511,0.0168570832707,0.016272888987,0.0208848382931,12790000.0,234.0,5622000.0,7168000.0
16,0.0333760182298,0.0314449437935,0.0336746336668,0.0330754302879,22986000.0,436.5,11634000.0,11352000.0
19,0.00386236006662,0.00259339742627,0.00384968736263,0.00387511648017,2660000.0,36.0,1330000.0,1330000.0
