vrfid,PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),uplinkcostbuffer(%),PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,uplinkcostbuffer
1,0.70037262605,0.408830744072,0.231815979514,2216000.0,10.0,3.0583e-05
2,2.64567655806,2.61651676206,2.72874763735,8371000.0,64.0,0.000359998
9,95.7389784547,96.2591986917,96.5199784852,302921000.0,2354.5,0.01273368
16,0.780649993837,0.633687653312,0.484643432565,2470000.0,15.5,6.3938e-05
19,0.134322367361,0.0817661488144,0.0348144653535,425000.0,2.0,4.593e-06
Total,100,100,100,316403000.0,2446.0,0.013192792
