sourcesiteid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
10.185.51.130,1.34271584751e-05,1.34271584751e-05,0.68416879727,41.6508532622,4096000.0,153600000.0,153600000.0,153600000.0
10.102.214.162,99.9999865728,99.9999865728,99.3158312027,58.3491467378,3.05053333333e+13,1.14395e+15,22297000000.0,215179960.0
Total,100,100,100,100,3.05053374293e+13,1.1439501536e+15,22450600000.0,368779960.0
