sourcesiteid,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,AGGR_uplinkcostbuffer
10.185.51.130,66.4373370115,66.4373370115,71.0274713956,41.6783892924,8.66537811911e+12,3.8994201536e+15,80268600000.0,153690190.0
10.102.214.162,33.5626629885,33.5626629885,28.9725286044,58.3216107076,4.37755603342e+12,1.96990021504e+15,32742040000.0,215062520.0
Total,100,100,100,100,1.30429341525e+13,5.86932036864e+15,1.1301064e+11,368752710.0
