sourcesiteid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
10.185.51.130,26.3892637426,26.3892637426,27.6302016159,41.6646207686,66.4373370115,1.72444369447e-06,8.66537846044e+12,3.8994203072e+15,80422200000.0,307290190.0,3.8994201536e+15,153600000.0
10.102.214.162,73.6107362574,73.6107362574,72.3697983841,58.3353792314,33.5626629885,99.9999982756,2.41713787335e+13,1.08771204301e+16,2.1064408e+11,430242480.0,1.96990021504e+15,8.90722021504e+15
Total,100,100,100,100,100,100,3.2836757194e+13,1.47765407373e+16,2.9106628e+11,737532670.0,5.86932036864e+15,8.90722036864e+15
