sourcesiteid,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
10.185.51.130,26.2745028693,26.2745028693,27.752875489,41.6646207686,66.4062858135,1.34271584751e-05,1.32626707627e+13,4.973501536e+14,10203600000.0,307290190.0,4.9735e+14,153600000.0
10.102.214.162,73.7254971307,73.7254971307,72.247124511,58.3353792314,33.5937141865,99.9999865728,3.72146715819e+13,1.39555018432e+15,26562320000.0,430242480.0,2.5160018432e+14,1.14395e+15
Total,100,100,100,100,100,100,5.04773423445e+13,1.89290033792e+15,36765920000.0,737532670.0,7.4895018432e+14,1.1439501536e+15
