sourcesiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,AGGR_downlinkcostbuffer
10.185.51.130,1.72444369447e-06,1.72444369447e-06,0.0862651696964,41.6508532622,341333.333333,153600000.0,153600000.0,153600000.0
10.102.214.162,99.9999982756,99.9999982756,99.9137348303,58.3491467378,1.97938227001e+13,8.90722021504e+15,1.7790204e+11,215179960.0
Total,100,100,100,100,1.97938230414e+13,8.90722036864e+15,1.7805564e+11,368779960.0
