sourcesiteid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,AGGR_uplinkcostbuffer
10.185.51.130,66.4062858135,66.4062858135,70.2045081773,41.6783892924,1.32626666667e+13,4.9735e+14,10050000000.0,153690190.0
10.102.214.162,33.5937141865,33.5937141865,29.7954918227,58.3216107076,6.70933824853e+12,2.5160018432e+14,4265320000.0,215062520.0
Total,100,100,100,100,1.99720049152e+13,7.4895018432e+14,14315320000.0,368752710.0
