sourcesiteid,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,AGGR_uplinkcostbuffer
10.185.51.130,66.416144283,66.416144283,71.0348370516,41.6783895161,4.33802239289e+12,1.9521100768e+15,40154800000.0,76845110.0
10.102.214.162,33.583855717,33.583855717,28.9651629484,58.3216104839,2.19355579449e+12,9.8710010752e+14,16373520000.0,107531280.0
Total,100,100,100,100,6.53157818738e+12,2.93921018432e+15,56528320000.0,184376390.0
