sourcesiteid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
10.185.51.130,26.3634063114,26.3634063114,27.6337494464,41.6646107132,66.416144283,1.7198867927e-06,4.33802256356e+12,1.9521101536e+15,40231600000.0,153645110.0,1.9521100768e+15,76800000.0
10.102.214.162,73.6365936886,73.6365936886,72.3662505536,58.3353892868,33.583855717,99.9999982801,1.21166893668e+13,5.45251021504e+15,1.0535704e+11,215121350.0,9.8710010752e+14,4.46541010752e+15
Total,100,100,100,100,100,100,1.64547119303e+13,7.40462036864e+15,1.4558864e+11,368766460.0,2.93921018432e+15,4.46541018432e+15
