sourcesiteid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),AGGR_downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,AGGR_downlinkcostbuffer
10.185.51.130,1.31371860949e-05,1.31371860949e-05,0.683894637482,41.6508329326,2048000.0,76800000.0,76800000.0,76800000.0
10.102.214.162,99.9999868628,99.9999868628,99.3161053625,58.3491670674,1.55893333333e+13,5.846e+14,11153000000.0,107590070.0
Total,100,100,100,100,1.55893353813e+13,5.846000768e+14,11229800000.0,184390070.0
