destsiteid,downlinkbytebuffer(%),downlinkflowbuffer(%),downlinkcostbuffer(%),downlinkbytebuffer,downlinkflowbuffer,downlinkcostbuffer
10.185.51.130,100.0,100.0,100.0,2.492e+14,5025000000.0,76800000.0
Total,100,100,100,2.492e+14,5025000000.0,76800000.0
