destsiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,downlinkcostbuffer
10.185.51.130,100.0,100.0,100.0,100.0,4.33802239289e+12,1.9521100768e+15,40154800000.0,76800000.0
Total,100,100,100,100,4.33802239289e+12,1.9521100768e+15,40154800000.0,76800000.0
