destsiteid,AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),uplinkcostbuffer(%),AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,uplinkcostbuffer
10.185.51.130,100.0,100.0,100.0,76800000.0,76800000.0,76800000.0
Total,100,100,100,76800000.0,76800000.0,76800000.0
