sourcesiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,downlinkcostbuffer
ATLANTAGAWDC,100.0,100.0,100.0,100.0,137251850.333,61763332650.0,7671054.75,0.57261122
Total,100,100,100,100,137251850.333,61763332650.0,7671054.75,0.57261122
