sourcesiteid,PEAK_totalbitbuffer(%),PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),totalcostbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalbitbuffer,PEAK_totalByteBuffer,PEAK_totalflowbuffer,totalcostbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
ATLANTAGAWDC,100.0,100.0,100.0,100.0,100.0,100.0,1174461005.33,44042287700.0,1129380.25,4.48418664,38313442700.0,5728845000.0
Total,100,100,100,100,100,100,1174461005.33,44042287700.0,1129380.25,4.48418664,38313442700.0,5728845000.0
