sourcesiteid,AGGR_uplinkbitbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_uplinkflowbuffer(%),uplinkcostbuffer(%),AGGR_uplinkbitbuffer,AGGR_uplinkbytebuffer,AGGR_uplinkflowbuffer,uplinkcostbuffer
ATLANTAGAWDC,100.0,100.0,100.0,100.0,937814129.689,422016358360.0,4320480.0,3.91157542
Total,100,100,100,100,937814129.689,422016358360.0,4320480.0,3.91157542
