sourcesiteid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,uplinkcostbuffer
ATLANTAGAWDC,100.0,100.0,100.0,100.0,1021691805.33,38313442700.0,419733.0,3.91157542
Total,100,100,100,100,1021691805.33,38313442700.0,419733.0,3.91157542
