sourcesiteid,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,downlinkcostbuffer
ATLANTAGAWDC,100.0,100.0,100.0,100.0,152769200.0,5728845000.0,709647.25,0.57261122
Total,100,100,100,100,152769200.0,5728845000.0,709647.25,0.57261122
