sourcesiteid,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
ATLANTAGAWDC,100.0,100.0,100.0,100.0,100.0,100.0,1075065980.02,483779691010.0,11991534.75,4.48418664,422016358360.0,61763332650.0
Total,100,100,100,100,100,100,1075065980.02,483779691010.0,11991534.75,4.48418664,422016358360.0,61763332650.0
