transitsite,PEAK_downlinkbitbuffer(%),PEAK_downlinkbytebuffer(%),PEAK_downlinkflowbuffer(%),downlinkcostbuffer(%),PEAK_downlinkbitbuffer,PEAK_downlinkbytebuffer,PEAK_downlinkflowbuffer,downlinkcostbuffer
HOMEWOODALSATSITE;2,0.0131256153152,0.0131256153152,3.0213581317e-05,0.0066506893373,568000.0,21300000.0,3.0,0.00133
HOMEWOODALSATSITE;2,0.029825341843,0.029825341843,3.0213581317e-05,0.0441545765777,1290666.66667,48400000.0,3.0,0.00883
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0109072014591,0.0109072014591,3.0213581317e-05,0.0129013372107,472000.0,17700000.0,3.0,0.00258
HOMEWOODALSATSITE;2,3.78979033749e-05,3.78979033749e-05,5.03559688617e-06,5.70059086054e-06,1640.0,61500.0,0.5,1.14e-06
HOMEWOODALSATSITE;2,0.0161451230638,0.0161451230638,3.52491782032e-05,0.011701212819,698666.666667,26200000.0,3.5,0.00234
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0076412032821,0.0076412032821,3.0213581317e-05,0.00865089665679,330666.666667,12400000.0,3.0,0.00173
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.008134184139,0.008134184139,3.0213581317e-05,0.00890092257172,352000.0,13200000.0,3.0,0.00178
HOMEWOODALSATSITE;2,0.0349400182335,0.0349400182335,3.52491782032e-05,0.03900404273,1512000.0,56700000.0,3.5,0.0078
HOMEWOODALSATSITE;2,0.016268368278,0.016268368278,2.51779844308e-05,0.0182018866073,704000.0,26400000.0,2.5,0.00364
HOMEWOODALSATSITE;2,0.0306264357355,0.0306264357355,3.0213581317e-05,0.0140014512364,1325333.33333,49700000.0,3.0,0.0028
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00862716499591,0.00862716499591,3.0213581317e-05,0.0122012646489,373333.333333,14000000.0,3.0,0.00244
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,2.711394713e-05,2.711394713e-05,5.03559688617e-06,4.07542241346e-06,1173.33333333,44000.0,0.5,8.15e-07
HOMEWOODALSATSITE;2,0.00590344576149,0.00590344576149,2.51779844308e-05,0.00695072043522,255466.666667,9580000.0,2.5,0.00139
HOMEWOODALSATSITE;2,0.0147278031002,0.0147278031002,2.51779844308e-05,0.0161016689219,637333.333333,23900000.0,2.5,0.00322
HOMEWOODALSATSITE;2,0.0121396536014,0.0121396536014,2.51779844308e-05,0.0150015548962,525333.333333,19700000.0,2.5,0.003
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0112769371018,0.0112769371018,2.51779844308e-05,0.0127513216617,488000.0,18300000.0,2.5,0.00255
HOMEWOODALSATSITE;2,0.00601436645429,0.00601436645429,2.51779844308e-05,0.00650067378834,260266.666667,9760000.0,2.5,0.0013
HOMEWOODALSATSITE;2,0.00336459434841,0.00336459434841,3.0213581317e-05,0.00436045195648,145600.0,5460000.0,3.0,0.000872
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00887365542437,0.00887365542437,2.51779844308e-05,0.0104510832443,384000.0,14400000.0,2.5,0.00209
HOMEWOODALSATSITE;2,0.00414103919804,0.00414103919804,3.0213581317e-05,0.00406042085856,179200.0,6720000.0,3.0,0.000812
HOMEWOODALSATSITE;2,0.00383292616247,0.00383292616247,3.0213581317e-05,0.00458547527993,165866.666667,6220000.0,3.0,0.000917
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00868878760303,0.00868878760303,3.0213581317e-05,0.00930096403562,376000.0,14100000.0,3.0,0.00186
HOMEWOODALSATSITE;2,0.00702497721096,0.00702497721096,2.51779844308e-05,0.00980101586549,304000.0,11400000.0,2.5,0.00196
HOMEWOODALSATSITE;2,0.00850391978169,0.00850391978169,3.52491782032e-05,0.00925095885263,368000.0,13800000.0,3.5,0.00185
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00250187784882,0.00250187784882,3.0213581317e-05,0.00258526796044,108266.666667,4060000.0,3.0,0.000517
HOMEWOODALSATSITE;2,0.0170078395634,0.0170078395634,2.51779844308e-05,0.0226523478932,736000.0,27600000.0,2.5,0.00453
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00417801276231,0.00417801276231,3.52491782032e-05,0.00306031719882,180800.0,6780000.0,3.5,0.000612
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEWOODALSATSITE;2,0.00348783956263,0.00348783956263,3.0213581317e-05,0.00439045506628,150933.333333,5660000.0,3.0,0.000878
HOMEWOODALSATSITE;2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROSWELLGASATSITE;2,0.0616226071137,0.0616226071137,7.55339532925e-05,0.0750077744808,2666666.66667,100000000.0,7.5,0.015
HOMEWOODALSATSITE;2,0.000924339106705,0.000924339106705,3.0213581317e-05,0.000750077744808,40000.0,1500000.0,3.0,0.00015
NORCROSSGASATSITE;2,0.0483121239771,0.0483121239771,8.56051470649e-05,0.0545056494561,2090666.66667,78400000.0,8.5,0.0109
