transitsite,AGGR_totalbitbuffer(%),AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),totalcostbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalbitbuffer,AGGR_totalByteBuffer,AGGR_totalflowbuffer,totalcostbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
HOMEWOODALSATSITE;2,0.285353614915,0.285353614915,0.611696541171,0.288255959705,0.305886356175,0.0270682646136,93430444.2222,42043699900.0,7361052.5,0.77844,41749999900.0,293700000.0
HOMEWOODALSATSITE;2,0.316312842315,0.316312842315,0.574715589874,0.319716607072,0.338929408095,0.0318146576256,103567110.511,46605199730.0,6916030.0,0.8634,46259999730.0,345200000.0
HOMEWOODALSATSITE;2,0.233678887083,0.233678887083,0.159550194629,0.236251094871,0.252255504459,0.0,76511111.4222,34430000140.0,1920000.0,0.638,34430000140.0,0.0
HOMEWOODALSATSITE;2,0.236146936965,0.236146936965,0.393310217895,0.238387723112,0.253427762526,0.0187680674359,77319200.0,34793640000.0,4733028.5,0.64377,34590000000.0,203640000.0
HOMEWOODALSATSITE;2,0.250103598613,0.250103598613,0.378682415064,0.252544273828,0.26998592052,0.0,81888888.3778,36849999770.0,4557000.0,0.682,36849999770.0,0.0
HOMEWOODALSATSITE;2,0.166804510198,0.166804510198,0.253122228826,0.168464064421,0.178901391902,0.0146354798115,54615111.4667,24576800160.0,3046030.0,0.45494,24418000160.0,158800000.0
HOMEWOODALSATSITE;2,0.168551090873,0.168551090873,0.189800579134,0.170263720097,0.181238578705,0.00895271101317,55186976.6889,24834139510.0,2284028.0,0.4598,24736999510.0,97140000.0
HOMEWOODALSATSITE;2,0.164637328974,0.164637328974,0.123487737239,0.166382981109,0.177202347488,0.00657951450721,53905533.2667,24257489970.0,1486030.5,0.44932,24186099970.0,71390000.0
HOMEWOODALSATSITE;2,0.242254349533,0.242254349533,0.62332858135,0.244586537106,0.259728653022,0.0224416834641,79318888.2444,35693499710.0,7501030.5,0.66051,35449999710.0,243500000.0
HOMEWOODALSATSITE;2,0.184177650619,0.184177650619,0.274561952427,0.18614956958,0.1981484219,0.00843659837498,60303422.8889,27136540300.0,3304032.0,0.5027,27045000300.0,91540000.0
