sourcesiteid,PEAK_uplinkbitbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_uplinkflowbuffer(%),AGGR_uplinkcostbuffer(%),PEAK_uplinkbitbuffer,PEAK_uplinkbytebuffer,PEAK_uplinkflowbuffer,AGGR_uplinkcostbuffer
3581,66.3418327257,66.3418327257,70.2162476125,41.6783895161,6.71733333333e+12,2.519e+14,5029000000.0,76845110.0
3582,33.6581672743,33.6581672743,29.7837523875,58.3216104839,3.4080024576e+12,1.2780009216e+14,2133160000.0,107531280.0
Total,100,100,100,100,1.01253357909e+13,3.7970009216e+14,7162160000.0,184376390.0
