vrfid,PEAK_totalByteBuffer(%),PEAK_totalflowbuffer(%),PEAK_uplinkbytebuffer(%),PEAK_downlinkbytebuffer(%),PEAK_totalByteBuffer,PEAK_totalflowbuffer,PEAK_uplinkbytebuffer,PEAK_downlinkbytebuffer
1,0.3548542208,0.315052508751,0.357546104629,0.348411180496,1535000.0,27.0,779000.0,756000.0
2,2.2481806497,2.36289381564,2.85715597088,2.58266700463,9725000.0,202.5,6225000.0,5604000.0
9,96.4926070111,96.4294049008,95.7893094174,96.1817637164,417400000.0,8264.0,208700000.0,208700000.0
16,0.707859038495,0.682613768961,0.800921633605,0.691292024794,3062000.0,58.5,1745000.0,1500000.0
19,0.196499079922,0.210035005834,0.195066873514,0.195866073692,850000.0,18.0,425000.0,425000.0
Total,100,100,100,100,432572000.0,8570.0,217874000.0,216985000.0
